Method,Architecture,ID,OOD,NMI,Precision,ID_err,OOD_err,NMI_err,Precision_err
Vanilla (SFR),SFR,21,22,40.8,52,1.4,1.5,3.2,3.4
Concat (SFR),SFR,66,64,28.2,38.1,1.4,1.5,3.2,3.4
Hadamard (SFR),SFR,81,73,38.3,52.8,2.1,2.2,3.2,3.4
Hyper-CL (SFR),SFR,82.3,75.1,44.2,61.0,3.2,3.4,3.2,3.4
MoA (SFR),SFR,86.8,83.1,48,65.6,2.7,2.9,3.2,4.1
Vanilla (E5),E5,7.1,8.1,31.2,50.3,1.4,1.5,3.2,3.4
Concat (E5),E5,24,21,17.7,29.5,1.3,1.4,3.2,2.6
Hadamard (E5),E5,28,26,16.8,30.2,1.7,1.8,3.2,3.2
Hyper-CL (E5),E5,66,60,40.6,55.5,3.1,3.2,3.2,3.4
MoA (E5),E5,70,69,45.1,60.5,4.2,5.4,4.2,4.4
